State,Year,Primary_Fuel,Energy_Amount
Northern Territory,2012,Coal,0
Northern Territory,2012,Oil,55.7
Northern Territory,2012,Gas,42
Northern Territory,2012,Renewables,0.5
Northern Territory,2013,Coal,0
Northern Territory,2013,Oil,54.2
Northern Territory,2013,Gas,45.3
Northern Territory,2013,Renewables,0.5
Northern Territory,2014,Coal,0
Northern Territory,2014,Oil,51.2
Northern Territory,2014,Gas,47.4
Northern Territory,2014,Renewables,0.6
Northern Territory,2015,Coal,0
Northern Territory,2015,Oil,38.4
Northern Territory,2015,Gas,44.9
Northern Territory,2015,Renewables,0.6
Northern Territory,2016,Coal,0
Northern Territory,2016,Oil,33.4
Northern Territory,2016,Gas,49.8
Northern Territory,2016,Renewables,0.7
Northern Territory,2017,Coal,0
Northern Territory,2017,Oil,34.4
Northern Territory,2017,Gas,48.1
Northern Territory,2017,Renewables,0.8
Northern Territory,2018,Coal,0
Northern Territory,2018,Oil,42.3
Northern Territory,2018,Gas,46.9
Northern Territory,2018,Renewables,1
Northern Territory,2019,Coal,0
Northern Territory,2019,Oil,45.8
Northern Territory,2019,Gas,86.1
Northern Territory,2019,Renewables,1.1
Northern Territory,2020,Coal,0
Northern Territory,2020,Oil,36.5
Northern Territory,2020,Gas,108.7
Northern Territory,2020,Renewables,1.3
Northern Territory,2021,Coal,0
Northern Territory,2021,Oil,37.6
Northern Territory,2021,Gas,106.2
Northern Territory,2021,Renewables,1.5
Northern Territory,2022,Coal,0
Northern Territory,2022,Oil,37.6
Northern Territory,2022,Gas,110.6
Northern Territory,2022,Renewables,1.6
Northern Territory,2023,Coal,0
Northern Territory,2023,Oil,36.6
Northern Territory,2023,Gas,91.3
Northern Territory,2023,Renewables,1.7
